Trip ID,Date,Retailer,Parent Brand,User ID,Item Dollars,Item Units
9518383,1/2/2014,Walmart,Monster,118789,$2 ,1
9536651,1/2/2014,Walmart,Red Bull,191043,$2 ,1
9538542,1/2/2014,Walmart,Red Bull,36949,$2 ,1
9540308,1/2/2014,Walgreens,5 Hour Energy,310300,$8 ,2
9543394,1/2/2014,Kroger,Rockstar,310076,$9 ,5
9546752,1/2/2014,Walgreens,Red Bull,36112,$2 ,1
9548044,1/2/2014,Kroger,Monster,100091,$4 ,2
9548475,1/2/2014,Walmart,Monster,36112,$5 ,3
9549079,10/2/2013,Kroger,Red Bull,313676,$12 ,2
9553173,10/2/2013,CVS,Rockstar,162323,$3 ,2
9553683,8/25/2014,Publix,Red Bull,80484,$4 ,1
9555932,8/25/2014,Walmart,5 Hour Energy,98838,$10 ,1
9556773,8/25/2014,Kroger,Red Bull,352626,$2 ,1
9556854,9/3/2015,Publix,Red Bull,5020,$3 ,1
9556964,9/3/2015,Kroger,5 Hour Energy,303033,$3 ,1
9557452,1/2/2014,Costco,Rockstar,314658,$87 ,3
9557985,1/2/2014,Target,Monster,86264,$6 ,1
9559719,1/2/2014,Kroger,Monster,175946,$5 ,1
9559844,7/2/2013,Kroger,Rockstar,105555,$7 ,4
9560602,7/2/2013,Walmart,Rockstar,362526,$2 ,1
9561235,1/2/2014,Kroger,Rockstar,5020,$36 ,1
9562911,1/2/2014,Target,Monster,157045,$3 ,2
9563314,1/2/2014,Walmart,Monster,36112,$2 ,1
9564238,5/2/2016,Target,Red Bull,5020,$2 ,1
